,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
0,00102-08-065-065,4,1130,1346,0,0,2004,AVG,C,1,2,Att/Det,2,,2.0,2,2,MIDDLE UNIT,100000,0,100000,100000,2,2012,Q,I
1,00102-08-073-073,4,1130,1249,0,0,2005,AVG,C,1,1,Att,1,,1.0,2,2,END UNIT,94700,0,94700,94700,4,2011,Q,I
2,00102-08-078-078,4,1130,1346,0,0,2005,AVG,C,1,2,Att,1,,2.0,2,2,MIDDLE UNIT,89500,0,89500,89500,10,2010,Q,I
3,00102-08-081-081,4,1130,1146,0,0,2005,AVG,C,1,1,None,0,,2.0,2,2,END UNIT,92000,3220,88780,88780,10,2011,Q,I
4,00102-08-086-086,4,1130,1249,0,0,2005,AVG,C,1,1,Att,1,,1.0,2,2,END UNIT,74199,0,74199,74199,3,2012,U,I
5,00102-08-086-086,4,1130,1249,0,0,2005,AVG,C,1,1,Att,1,,1.0,2,2,END UNIT,105900,1000,104900,104900,5,2012,Q,I
6,00102-08-088-088,4,1130,1098,0,0,2005,AVG,C,1,2,None,0,,2.0,1,1,MIDDLE UNIT,69000,0,69000,69000,8,2010,Q,I
7,00102-08-127-127,4,1130,1346,0,0,2005,AVG,C,1,2,Att,1,,2.0,2,2,MIDDLE UNIT,90000,0,90000,90000,5,2012,Q,I
8,00102-08-133-133,4,1130,1249,0,0,2006,AVG,C,1,1,Att,1,,1.0,2,2,END UNIT,100000,0,100000,100000,8,2010,Q,I
9,00102-08-141-141,4,1130,1346,0,0,2006,AVG,C,1,2,Att,1,,2.0,2,2,MIDDLE UNIT,92000,0,92000,92000,12,2011,Q,I
10,00102-08-143-143,4,1130,1098,0,0,2006,AVG,C,1,2,Att,1,,2.0,1,1,MIDDLE UNIT,70000,0,70000,70000,2,2011,Q,I
11,00141-01-002-000,5,1112,3902,1125,1540,2005,Good,C,1,2,Att,3,,,4,5,TWO-STORY,350000,0,350000,350000,8,2010,U,I
12,00141-04-011-000,5,1112,2732,0,0,2003,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,175000,0,175000,175000,3,2012,U,I
13,00141-05-012-000,5,1112,2927,0,0,2005,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,175000,0,175000,175000,3,2011,Q,I
14,00141-13-002-000,5,1112,2811,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,178200,5300,172900,172900,11,2011,Q,I
15,00141-13-004-000,5,1112,3106,0,1357,2005,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,210000,4200,205800,205800,7,2011,Q,I
16,00141-15-003-000,5,1112,2732,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,175285,0,175285,175285,5,2011,Q,I
17,00141-16-005-000,5,1112,2564,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,190600,4600,186000,186000,2,2012,Q,I
18,00141-21-010-000,5,1112,1731,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,128250,0,128250,128250,7,2011,Q,I
19,00141-21-024-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,125000,3750,121250,121250,11,2010,Q,I
20,00141-21-030-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,115000,3200,111800,111800,3,2011,Q,I
21,00141-21-036-000,5,1112,1508,0,0,2004,Good,C,1,2,Att,2,,,3,3,TWO-STORY,155000,0,155000,155000,5,2012,Q,I
22,00141-21-038-000,5,1112,1754,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,150000,4500,145500,145500,6,2011,Q,I
23,00141-21-045-000,5,1112,1754,0,0,2004,AVG,C,1,2,Att,2,,,4,3,TWO-STORY,145000,4350,140650,140650,9,2010,Q,I
24,00141-21-054-000,5,1112,1508,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,145900,4312,141588,141588,10,2011,Q,I
25,00141-21-060-000,5,1112,1243,0,0,2004,AVG,C,1,2,Att,1,,,2,2,TWO-STORY,109000,3270,105730,105730,8,2011,Q,I
26,00141-22-005-000,5,1112,1754,0,0,2004,AVG,C,1,2,Att,2,,,3,3,TWO-STORY,122000,0,122000,122000,12,2011,Q,I
