,parcel,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,sprice,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
0,00102-08-065-065,1130,1346,0,0,2004,1,2,2,2,2,100000,0,100000,100000,2,2012,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,00102-08-073-073,1130,1249,0,0,2005,1,1,1,2,2,94700,0,94700,94700,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,00102-08-078-078,1130,1346,0,0,2005,1,2,1,2,2,89500,0,89500,89500,10,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,00102-08-081-081,1130,1146,0,0,2005,1,1,0,2,2,92000,3220,88780,88780,10,2011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4,00102-08-086-086,1130,1249,0,0,2005,1,1,1,2,2,74199,0,74199,74199,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5,00102-08-086-086,1130,1249,0,0,2005,1,1,1,2,2,105900,1000,104900,104900,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,00102-08-088-088,1130,1098,0,0,2005,1,2,0,1,1,69000,0,69000,69000,8,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
7,00102-08-127-127,1130,1346,0,0,2005,1,2,1,2,2,90000,0,90000,90000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,00102-08-133-133,1130,1249,0,0,2006,1,1,1,2,2,100000,0,100000,100000,8,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9,00102-08-141-141,1130,1346,0,0,2006,1,2,1,2,2,92000,0,92000,92000,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
10,00102-08-143-143,1130,1098,0,0,2006,1,2,1,1,1,70000,0,70000,70000,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
11,00141-01-002-000,1112,3902,1125,1540,2005,1,2,3,4,5,350000,0,350000,350000,8,2010,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
12,00141-04-011-000,1112,2732,0,0,2003,1,2,2,4,3,175000,0,175000,175000,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
13,00141-05-012-000,1112,2927,0,0,2005,1,2,2,4,3,175000,0,175000,175000,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
14,00141-13-002-000,1112,2811,0,0,2004,1,2,2,4,3,178200,5300,172900,172900,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
15,00141-13-004-000,1112,3106,0,1357,2005,1,2,2,4,3,210000,4200,205800,205800,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
16,00141-15-003-000,1112,2732,0,0,2004,1,2,2,4,3,175285,0,175285,175285,5,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
17,00141-16-005-000,1112,2564,0,0,2004,1,2,2,4,3,190600,4600,186000,186000,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
18,00141-21-010-000,1112,1731,0,0,2004,1,2,2,3,3,128250,0,128250,128250,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
19,00141-21-024-000,1112,1508,0,0,2004,1,2,2,3,3,125000,3750,121250,121250,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
20,00141-21-030-000,1112,1508,0,0,2004,1,2,2,3,3,115000,3200,111800,111800,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
21,00141-21-036-000,1112,1508,0,0,2004,1,2,2,3,3,155000,0,155000,155000,5,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
22,00141-21-038-000,1112,1754,0,0,2004,1,2,2,3,3,150000,4500,145500,145500,6,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
23,00141-21-045-000,1112,1754,0,0,2004,1,2,2,4,3,145000,4350,140650,140650,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
24,00141-21-054-000,1112,1508,0,0,2004,1,2,2,3,3,145900,4312,141588,141588,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
25,00141-21-060-000,1112,1243,0,0,2004,1,2,1,2,2,109000,3270,105730,105730,8,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
26,00141-22-005-000,1112,1754,0,0,2004,1,2,2,3,3,122000,0,122000,122000,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
27,00141-22-010-000,1112,1754,0,0,2004,1,2,2,4,3,124000,2000,122000,122000,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
28,00141-23-001-000,1112,1508,0,0,2004,1,2,2,3,3,160000,5000,155000,155000,11,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
29,00141-23-004-000,1112,1508,0,0,2004,1,2,2,3,3,127000,0,127000,127000,1,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
30,00141-23-004-000,1112,1508,0,0,2004,1,2,2,3,3,143500,4300,139200,139200,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
31,00141-23-005-000,1112,1731,0,0,2004,1,2,2,3,3,136500,4095,132405,132405,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
32,00141-23-008-000,1112,1508,0,0,2004,1,2,2,4,3,134500,4035,130465,130465,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
33,00141-23-011-000,1112,1508,0,0,2004,1,2,2,3,3,142900,0,142900,142900,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
34,00141-23-017-000,1112,1731,0,0,2004,1,2,2,3,3,160000,4860,155140,155140,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
35,00141-23-025-000,1112,1731,0,0,2004,1,2,2,3,2,132000,3960,128040,128040,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
36,00141-24-005-000,1112,1754,0,0,2004,1,2,2,4,2,149000,1490,147510,147510,7,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
37,00141-25-003-000,1112,1754,0,0,2004,1,2,2,3,3,168500,4000,164500,164500,5,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
38,00141-26-017-000,1112,1754,0,0,2005,1,2,2,3,3,162000,0,162000,162000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
39,00141-27-001-000,1112,1509,0,0,2005,1,2,2,3,3,129950,0,129950,129950,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
40,00141-27-003-000,1112,1509,0,0,2005,1,2,2,3,3,164700,0,164700,164700,5,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
41,00141-27-014-000,1112,1509,0,0,2005,1,2,2,3,3,193263,0,193263,193263,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
42,00141-27-014-000,1112,1509,0,0,2005,1,2,2,3,3,137900,3000,134900,134900,12,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
43,00141-28-006-000,1112,1509,0,0,2005,1,2,2,3,2,127000,0,127000,127000,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
44,00141-29-007-000,1112,1509,0,0,2005,1,2,2,3,3,125000,4000,121000,121000,7,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
45,00141-29-008-000,1112,1509,0,0,2005,1,2,2,3,2,155000,3317,151683,151683,3,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
46,00141-30-002-000,1112,2854,0,0,2005,1,2,2,4,3,180000,2700,177300,177300,1,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
47,00141-31-006-000,1112,2855,0,1205,2004,1,2,2,4,3,186000,0,186000,186000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
48,00141-31-010-000,1112,3126,0,1357,2005,1,2,2,4,3,235215,5500,229715,229715,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
49,00141-32-017-000,1112,1834,0,1834,2005,1,1,2,3,2,155000,0,155000,155000,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
50,00141-33-002-000,1112,3305,0,1500,2005,1,2,2,3,3,275000,4000,271000,271000,6,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
51,00141-33-016-000,1112,3305,0,1500,2005,1,2,2,4,3,234900,4396,230504,230504,9,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
52,00141-34-012-000,1112,3305,0,1500,2005,1,2,2,5,3,222000,4440,217560,217560,7,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
53,00141-35-018-000,1112,2927,328,1314,2005,1,2,2,4,4,200000,5800,194200,194200,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
54,00141-36-002-000,1112,1960,0,0,2005,1,2,2,3,3,181500,0,181500,181500,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
55,00141-36-003-000,1112,2042,0,0,2005,1,2,2,3,3,153100,2990,150110,150110,5,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
56,00141-36-004-000,1112,1960,0,0,2005,1,2,2,3,3,142000,0,142000,142000,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
57,00141-36-006-000,1112,2042,0,0,2005,1,2,2,3,3,164800,0,164800,164800,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
58,00141-36-006-000,1112,2042,0,0,2005,1,2,2,3,3,189000,0,189000,189000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
59,00141-36-008-000,1112,2079,0,0,2005,1,2,2,3,3,163000,1630,161370,161370,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
60,00141-36-013-000,1112,1960,0,0,2005,1,2,2,3,3,182750,4500,178250,178250,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
61,00141-36-023-000,1112,2042,0,0,2005,1,2,2,3,3,166200,0,166200,166200,8,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
62,00141-36-028-000,1112,1982,0,0,2005,1,2,2,3,3,165000,0,165000,165000,7,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
63,00141-36-045-000,1112,2588,0,0,2006,1,2,2,3,3,140000,0,140000,140000,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
64,00141-36-048-000,1112,2588,0,1133,2006,1,2,2,3,3,205500,6000,199500,199500,11,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
65,00141-36-053-000,1112,2855,0,1339,2006,1,2,2,4,3,192300,0,192300,192300,8,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
66,00141-37-002-000,1112,1279,0,0,2005,1,1,2,3,2,138000,3000,135000,135000,5,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
67,00141-38-003-000,1112,1574,0,0,2005,1,2,2,2,3,140000,3500,136500,136500,2,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
68,00141-38-010-000,1112,2042,0,0,2005,1,2,2,3,3,150000,0,150000,150000,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
69,00141-38-014-000,1112,1743,0,0,2011,1,2,2,0,3,186600,0,186600,186600,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
70,00141-39-010-000,1112,1574,0,0,2006,1,2,2,2,3,107600,0,107600,107600,10,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
71,00141-39-010-000,1112,1574,0,0,2006,1,2,2,2,3,157500,5280,152220,152220,2,2012,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
